        DATE            STOCK
        VOLUME

        19850828         88532514
        19850829         85662110
        19850830         81624921
        19850903         81194370
        19850904         85511960
        19850905         94483310
        19850906         95037540
        19850909         89856480
        19850910        104734760
        19850911        100385280
        19850912        107068490
        19850913        111395470
        19850916         66679690
        19850917        111925460
        19850918        105711620
        19850919        100315500
        19850920        101461720
        19850923        104788620
        19850924         97871980
        19850925         92141263
        19850926        106097880
        19850930        103630810
        19851001        130242158
        19851002        147345251
        19851003        127543830
        19851004        101165810
        19851007         95550080
        19851008         97172471
        19851009         99138510
        19851010         90915300
        19851011         96394540
        19851014         78538890
        19851015        110354822
        19851016        117356480
        19851017        140513410
        19851018        107082360
        19851021         95676750
        19851022        111254310
        19851023        121522400
        19851024        123143380
        19851025        101815780
        19851028         97878670
        19851029        110599910
        19851030        120355170
        19851031        121530620
        19851101        129354140
        19851104        104939590
        19851105        119196110
        19851106        129511200
        19851107        118947130
        19851108        114970490
        19851111        126562450
        19851112        170800430
        19851113        109721950
        19851114        124976410
        19851115        130041270
        19851118        108376370
        19851119        126142630
        19851120        105113170
        19851121        150373990
        19851122        133750260
        19851125         91715480
        19851126        123065328
        19851127        143651363
        19851129         84059560
        19851202        103528290
        19851203        109717790
        19851204        153161241
        19851205        181026800
        19851206        125540850
        19851209        144006800
        19851210        156499070
        19851211        178487300
        19851212        170520480
        19851213        178090930
        19851216        176031100
        19851217        155232680
        19851218        137891810
        19851219        130242130
        19851220        167787020
        19851223        107895620
        19851224         78303330
        19851226         62054600
        19851227         81575270
        19851230         91987130
        19851231        112780860
        19860102         98958980
        19860103        105026070
        19860106         99626221
        19860107        152959314
        19860108        180331739
        19860109        176450748
        19860110        122776440
        19860113        108680280
        19860114        113940580
        19860115        122434360
        19860116        130466640
        19860117        132194750
        19860120         85343360
        19860121        128312990
        19860122        131171060
        19860123        130310759
        19860124        128953500
        19860127        122930300
        19860128        145661820
        19860129        193807180
        19860130        125336400
        19860131        143511270
        19860203        145276780
        19860204        175738840
        19860205        134325660
        19860206        146097820
        19860207        144402960
        19860210        129913050
        19860211        141253120
