gvkeyx,bkvlps,cshtrm,dvpsxm,dvrate,epsx12,prccm,prchm,prclm,datadate,conm,indextype,tic,spii,spmi,indexcat
000005,,,9.4500,113.4000,318.1099,4556.0977,4614.1992,4394.5898,30JUN1995,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,9.9300,113.4000,318.1099,4708.4688,4767.9883,4530.2578,31JUL1995,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,9.9300,113.4000,318.1099,4610.5586,4772.5586,4552.7969,31AUG1995,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,9.9300,119.1600,327.4900,4789.0781,4839.4766,4594.7070,30SEP1995,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,10.0900,119.1600,327.4900,4755.4766,4845.0781,4638.4297,31OCT1995,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,10.0900,119.1600,327.4900,5074.4883,5143.1289,4719.7188,30NOV1995,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,1337.0000,,10.0900,121.0800,311.0198,5117.1172,5266.6875,5016.6797,31DEC1995,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,10.3400,121.0800,311.0198,5395.2969,5433.2383,5000.0664,31JAN1996,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,10.3400,121.0800,311.0198,5485.6172,5693.3594,5319.4297,29FEB1996,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,10.3400,124.0800,307.1399,5587.1367,5755.8594,5395.2969,31MAR1996,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,10.7000,124.0800,307.1399,5569.0781,5737.0664,5382.6563,30APR1996,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,10.7000,124.0800,307.1399,5643.1797,5833.0391,5327.7383,31MAY1996,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,10.7000,128.4000,319.6199,5654.6289,5770.6094,5559.6875,30JUN1996,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,11.1800,128.4000,319.6199,5528.9063,5769.8789,5170.1094,31JUL1996,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,11.1800,128.4000,319.6199,5616.2070,5761.9492,5507.8281,31AUG1996,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
